nome;idhm;idhmr;idhme;idhml
Igrejinha (RS);0.721;0.876;0.571;0.749
Ribeirão dos Índios (SP);0.721;0.809;0.701;0.661
Santa Rita do Sapucaí (MG);0.721;0.83;0.62;0.727
Moema (MG);0.721;0.848;0.629;0.703
Vacaria (RS);0.721;0.838;0.605;0.74
Piranhas (GO);0.721;0.848;0.631;0.699
Cascalho Rico (MG);0.721;0.845;0.604;0.734
Lavínia (SP);0.721;0.82;0.655;0.698
Maceió (AL);0.721;0.799;0.635;0.739
Alegre (ES);0.721;0.839;0.63;0.708
Japaraíba (MG);0.721;0.844;0.656;0.677
Parisi (SP);0.721;0.842;0.619;0.72
Uchoa (SP);0.721;0.823;0.644;0.708
Ângulo (PR);0.721;0.827;0.644;0.705
Curitibanos (SC);0.721;0.846;0.62;0.716
Mossoró (RN);0.72;0.811;0.663;0.694
São Bento do Sapucaí (SP);0.72;0.812;0.638;0.719
Verê (PR);0.72;0.84;0.626;0.709
São Simão (GO);0.72;0.825;0.599;0.756
Itapeva (MG);0.72;0.878;0.607;0.699
Palmitinho (RS);0.72;0.836;0.632;0.707
São João das Duas Pontes (SP);0.72;0.806;0.686;0.675
Pouso Redondo (SC);0.72;0.857;0.598;0.728
Paracambi (RJ);0.72;0.812;0.666;0.689
Fazenda Rio Grande (PR);0.72;0.847;0.617;0.713
São Valentim (RS);0.72;0.82;0.612;0.745
Matias Barbosa (MG);0.72;0.862;0.616;0.703
Faxinal do Soturno (RS);0.72;0.854;0.597;0.732
Cananéia (SP);0.72;0.851;0.649;0.677
Caconde (SP);0.72;0.858;0.62;0.701
Itapura (SP);0.72;0.813;0.673;0.682
Pinhal (RS);0.72;0.852;0.624;0.701
Boa Esperança (PR);0.72;0.808;0.673;0.687
Ourizona (PR);0.72;0.803;0.644;0.721
Ivinhema (MS);0.72;0.85;0.615;0.715
Inhumas (GO);0.72;0.842;0.618;0.718
Passo de Torres (SC);0.72;0.869;0.618;0.695
Uniflor (PR);0.72;0.826;0.655;0.69
André da Rocha (RS);0.72;0.837;0.605;0.738
Campina Grande (PB);0.72;0.812;0.654;0.702
Icém (SP);0.72;0.806;0.646;0.716
Santa Isabel do Ivaí (PR);0.72;0.817;0.656;0.697
Lutécia (SP);0.72;0.846;0.659;0.67
Timbé do Sul (SC);0.72;0.856;0.606;0.721
Paiva (MG);0.72;0.845;0.672;0.657
Alto Horizonte (GO);0.719;0.841;0.624;0.709
Celso Ramos (SC);0.719;0.826;0.692;0.651
Gavião Peixoto (SP);0.719;0.802;0.676;0.687
Ouro Verde de Goiás (GO);0.719;0.821;0.674;0.672
Iperó (SP);0.719;0.814;0.672;0.68
Guaporema (PR);0.719;0.808;0.671;0.686
Rubiataba (GO);0.719;0.814;0.666;0.686
Guaraçaí (SP);0.719;0.803;0.663;0.699
Itaporanga (SP);0.719;0.835;0.653;0.681
Platina (SP);0.719;0.824;0.652;0.691
Salmourão (SP);0.719;0.846;0.649;0.678
Mamborê (PR);0.719;0.821;0.649;0.698
Angatuba (SP);0.719;0.827;0.648;0.693
Coroados (SP);0.719;0.816;0.648;0.704
São João de Meriti (RJ);0.719;0.831;0.646;0.693
Guariba (SP);0.719;0.811;0.645;0.712
São José dos Quatro Marcos (MT);0.719;0.816;0.643;0.707
Paraibuna (SP);0.719;0.815;0.642;0.709
Planalto (SP);0.719;0.853;0.639;0.683
Novais (SP);0.719;0.822;0.634;0.712
São Mateus do Sul (PR);0.719;0.838;0.623;0.711
Dores do Indaiá (MG);0.719;0.84;0.623;0.71
Caibaté (RS);0.719;0.857;0.611;0.709
Jupiá (SC);0.719;0.862;0.61;0.708
Itaberaí (GO);0.719;0.828;0.61;0.735
Mombuca (SP);0.719;0.82;0.607;0.746
Tramandaí (RS);0.719;0.842;0.606;0.727
Cruzaltense (RS);0.719;0.849;0.605;0.724
Tupaciguara (MG);0.719;0.863;0.605;0.711
Ciríaco (RS);0.719;0.855;0.6;0.724
Barão de Cotegipe (RS);0.719;0.842;0.593;0.745
Mandaguaçu (PR);0.718;0.825;0.625;0.717
Praia Grande (SC);0.718;0.84;0.636;0.692
Nova Veneza (GO);0.718;0.837;0.66;0.671
Diamantino (MT);0.718;0.831;0.625;0.714
Tupandi (RS);0.718;0.836;0.597;0.742
Santo Antônio da Platina (PR);0.718;0.817;0.617;0.733
Ananindeua (PA);0.718;0.821;0.658;0.684
Tombos (MG);0.718;0.871;0.607;0.699
Guará (SP);0.718;0.826;0.63;0.71
Vargem Bonita (SC);0.718;0.801;0.656;0.705
Paial (SC);0.718;0.847;0.62;0.705
Araruama (RJ);0.718;0.839;0.617;0.714
Mineiros (GO);0.718;0.84;0.584;0.753
Cacoal (RO);0.718;0.821;0.62;0.727
Aparecida de Goiânia (GO);0.718;0.834;0.62;0.716
Itaguaru (GO);0.718;0.828;0.648;0.689
Itauçu (GO);0.718;0.833;0.638;0.697
Conquista D'Oeste (MT);0.718;0.807;0.65;0.707
Santo Antônio de Pádua (RJ);0.718;0.806;0.648;0.709
Campina Grande do Sul (PR);0.718;0.86;0.605;0.712
Lagamar (MG);0.718;0.839;0.637;0.692
Ibiá (MG);0.718;0.877;0.573;0.736
Narandiba (SP);0.718;0.839;0.67;0.659
Dobrada (SP);0.718;0.818;0.655;0.691
Jussara (PR);0.718;0.835;0.619;0.716
Cariacica (ES);0.718;0.844;0.628;0.699
Jaboti (PR);0.718;0.827;0.64;0.699
Três Cachoeiras (RS);0.718;0.847;0.606;0.722
Palmeira (PR);0.718;0.826;0.618;0.725
Fundão (ES);0.718;0.839;0.623;0.708
Mariápolis (SP);0.718;0.83;0.651;0.684
Paulistânia (SP);0.718;0.817;0.663;0.683
Cidade Gaúcha (PR);0.718;0.805;0.645;0.712
Nova Santa Rita (RS);0.718;0.853;0.606;0.716
Bom Jesus (SC);0.718;0.827;0.606;0.74
Salto do Lontra (PR);0.718;0.839;0.625;0.707
Fama (MG);0.717;0.863;0.61;0.7
Cruzeiro do Oeste (PR);0.717;0.825;0.64;0.698
Borrazópolis (PR);0.717;0.838;0.633;0.695
Nova Aliança do Ivaí (PR);0.717;0.794;0.691;0.673
Paranapanema (SP);0.717;0.839;0.631;0.697
Ponte Nova (MG);0.717;0.848;0.608;0.714
Piranguinho (MG);0.717;0.841;0.651;0.672
Tigrinhos (SC);0.717;0.846;0.633;0.688
Campina do Monte Alegre (SP);0.717;0.846;0.634;0.687
Itobi (SP);0.717;0.82;0.646;0.697
Getulina (SP);0.717;0.813;0.652;0.696
São José do Alegre (MG);0.717;0.837;0.652;0.676
Engenho Velho (RS);0.717;0.821;0.611;0.735
Juatuba (MG);0.717;0.849;0.649;0.67
Ocauçu (SP);0.717;0.83;0.653;0.679
Viamão (RS);0.717;0.866;0.591;0.72
Paranacity (PR);0.717;0.839;0.638;0.689
São Pedro do Ivaí (PR);0.717;0.836;0.627;0.702
Jacupiranga (SP);0.717;0.832;0.644;0.687
Cidade Ocidental (GO);0.717;0.814;0.641;0.706
Guaratuba (PR);0.717;0.828;0.604;0.737
Mato Queimado (RS);0.717;0.87;0.603;0.702
Guatambú (SC);0.717;0.823;0.626;0.716
Eldorado do Sul (RS);0.717;0.844;0.609;0.717
Santo Antônio da Patrulha (RS);0.717;0.866;0.594;0.718
Jaboatão dos Guararapes (PE);0.717;0.83;0.642;0.692
Paula Freitas (PR);0.717;0.847;0.622;0.699
Santa Inês (PR);0.717;0.827;0.659;0.675
São José do Herval (RS);0.717;0.847;0.622;0.701
Goianá (MG);0.716;0.835;0.644;0.682
Petrolândia (SC);0.716;0.802;0.618;0.74
Júlio Mesquita (SP);0.716;0.813;0.686;0.659
Jacinto Machado (SC);0.716;0.818;0.633;0.708
Diamantina (MG);0.716;0.839;0.632;0.693
Taquaral de Goiás (GO);0.716;0.846;0.619;0.7
Paiçandu (PR);0.716;0.833;0.632;0.697
Luís Eduardo Magalhães (BA);0.716;0.826;0.59;0.754
Manoel Ribas (PR);0.716;0.806;0.628;0.725
Matupá (MT);0.716;0.824;0.631;0.706
Campos dos Goytacazes (RJ);0.716;0.83;0.619;0.715
Doutor Pedrinho (SC);0.716;0.843;0.609;0.714
Ribeirão Claro (PR);0.716;0.832;0.627;0.704
Juína (MT);0.716;0.845;0.593;0.733
Fênix (PR);0.716;0.825;0.665;0.669
Bela Vista do Paraíso (PR);0.716;0.844;0.604;0.721
Torixoréu (MT);0.716;0.806;0.666;0.684
Santo Antônio do Paraíso (PR);0.716;0.813;0.662;0.683
Paulo Lopes (SC);0.716;0.865;0.6;0.707
Capitão Leônidas Marques (PR);0.716;0.829;0.623;0.712
Piedade (SP);0.716;0.848;0.624;0.694
Júlio de Castilhos (RS);0.716;0.833;0.602;0.733
Ernestina (RS);0.716;0.854;0.612;0.703
Balneário Barra do Sul (SC);0.716;0.844;0.611;0.713
Bela Vista de Goiás (GO);0.716;0.837;0.607;0.721
Nova Prata do Iguaçu (PR);0.716;0.798;0.646;0.711
Davinópolis (GO);0.716;0.862;0.606;0.702
Putinga (RS);0.715;0.873;0.563;0.745
Santa Carmem (MT);0.715;0.827;0.628;0.703
Orizona (GO);0.715;0.827;0.612;0.722
Arvoredo (SC);0.715;0.842;0.61;0.713
Formosa do Sul (SC);0.715;0.845;0.593;0.728
Severínia (SP);0.715;0.807;0.638;0.709
Rio Brilhante (MS);0.715;0.861;0.59;0.72
Morungaba (SP);0.715;0.802;0.627;0.726
Flórida Paulista (SP);0.715;0.807;0.646;0.702
Itaguaí (RJ);0.715;0.814;0.638;0.703
Passa Quatro (MG);0.715;0.86;0.623;0.683
Niquelândia (GO);0.715;0.806;0.64;0.709
Pinheiral (RJ);0.715;0.801;0.643;0.709
Nova Canaã Paulista (SP);0.715;0.806;0.675;0.673
Machado (MG);0.715;0.848;0.6;0.719
Nova Serrana (MG);0.715;0.864;0.597;0.709
Queiroz (SP);0.715;0.811;0.681;0.662
Pedregulho (SP);0.715;0.82;0.623;0.716
Santa Luzia (MG);0.715;0.859;0.625;0.682
Formoso (GO);0.715;0.834;0.639;0.686
São Sebastião da Amoreira (PR);0.715;0.814;0.651;0.689
Parauapebas (PA);0.715;0.809;0.644;0.701
Aguaí (SP);0.715;0.858;0.606;0.703
Farol (PR);0.715;0.818;0.665;0.671
Quinta do Sol (PR);0.715;0.842;0.631;0.689
Paraguaçu (MG);0.715;0.85;0.623;0.69
Jacutinga (MG);0.715;0.864;0.586;0.722
Pouso Novo (RS);0.715;0.845;0.566;0.765
Palmares do Sul (RS);0.715;0.852;0.592;0.725
Jaguapitã (PR);0.715;0.834;0.615;0.714
São Vicente de Minas (MG);0.715;0.845;0.644;0.673
São Gonçalo do Sapucaí (MG);0.715;0.85;0.609;0.706
Sobral (CE);0.714;0.832;0.675;0.647
Vassouras (RJ);0.714;0.813;0.624;0.719
Nantes (SP);0.714;0.79;0.702;0.655
Mormaço (RS);0.714;0.86;0.576;0.735
Nova Santa Helena (MT);0.714;0.809;0.603;0.745
Riqueza (SC);0.714;0.83;0.624;0.702
Fátima do Sul (MS);0.714;0.815;0.621;0.719
Glorinha (RS);0.714;0.859;0.593;0.716
Itaquaquecetuba (SP);0.714;0.844;0.648;0.665
Campo Alegre (SC);0.714;0.845;0.636;0.677
Avaí (SP);0.714;0.83;0.65;0.674
Catanduvas (SC);0.714;0.806;0.625;0.723
Santa Teresa (ES);0.714;0.834;0.604;0.722
Laranjal (MG);0.714;0.857;0.613;0.694
Santa Rita do Araguaia (GO);0.714;0.842;0.616;0.703
Juscimeira (MT);0.714;0.842;0.637;0.678
Anicuns (GO);0.714;0.834;0.627;0.695
Populina (SP);0.714;0.804;0.647;0.699
Santo Antônio do Jardim (SP);0.714;0.835;0.62;0.703
Alta Floresta (MT);0.714;0.817;0.629;0.709
Quatiguá (PR);0.714;0.803;0.655;0.691
Terra Roxa (PR);0.714;0.818;0.639;0.697
Ji-Paraná (RO);0.714;0.81;0.617;0.728
Torre de Pedra (SP);0.714;0.829;0.647;0.679
Tapurah (MT);0.714;0.831;0.594;0.738
Nova Esperança do Sudoeste (PR);0.714;0.805;0.633;0.714
Rio Pomba (MG);0.714;0.863;0.609;0.694
Ijaci (MG);0.714;0.84;0.654;0.663
Seropédica (RJ);0.713;0.805;0.648;0.695
Carmo do Rio Verde (GO);0.713;0.824;0.649;0.677
Bom Jesus dos Perdões (SP);0.713;0.802;0.631;0.716
Itaí (SP);0.713;0.83;0.63;0.692
Itaocara (RJ);0.713;0.82;0.635;0.696
Nipoã (SP);0.713;0.814;0.636;0.701
Portão (RS);0.713;0.856;0.584;0.725
Águas de Chapecó (SC);0.713;0.811;0.629;0.712
Crato (CE);0.713;0.822;0.673;0.655
Canudos do Vale (RS);0.713;0.84;0.574;0.751
São José das Palmeiras (PR);0.713;0.844;0.627;0.686
Perobal (PR);0.713;0.83;0.638;0.684
Itaqui (RS);0.713;0.843;0.626;0.687
Carlópolis (PR);0.713;0.832;0.625;0.696
Irapuã (SP);0.713;0.844;0.624;0.688
Nova Iguaçu (RJ);0.713;0.818;0.641;0.691
Guarantã (SP);0.713;0.832;0.623;0.698
Palestina de Goiás (GO);0.713;0.837;0.66;0.656
Cruzeiro do Sul (PR);0.713;0.828;0.641;0.682
Imbuia (SC);0.713;0.84;0.602;0.716
Colíder (MT);0.713;0.819;0.604;0.732
Carapebus (RJ);0.713;0.805;0.644;0.699
Porto Real (RJ);0.713;0.817;0.645;0.688
Itapecerica (MG);0.713;0.846;0.618;0.692
Curvelo (MG);0.713;0.851;0.617;0.689
Florínia (SP);0.713;0.82;0.652;0.678
Miracema (RJ);0.713;0.805;0.646;0.696
Presidente Castelo Branco (PR);0.713;0.857;0.608;0.695
Santa Fé de Goiás (GO);0.713;0.847;0.608;0.703
Cajuru (SP);0.713;0.825;0.633;0.693
Rondon (PR);0.713;0.82;0.61;0.724
Alto Paraíso de Goiás (GO);0.713;0.819;0.611;0.723
Venâncio Aires (RS);0.712;0.818;0.6;0.736
Itabuna (BA);0.712;0.807;0.643;0.695
Bom Jesus do Oeste (SC);0.712;0.83;0.601;0.725
Lindolfo Collor (RS);0.712;0.842;0.601;0.712
Vianópolis (GO);0.712;0.818;0.622;0.71
Conceição de Macabu (RJ);0.712;0.806;0.642;0.698
Santa Vitória do Palmar (RS);0.712;0.861;0.591;0.709
Eugênio de Castro (RS);0.712;0.885;0.584;0.697
Petrolina de Goiás (GO);0.712;0.834;0.643;0.674
Nova Venécia (ES);0.712;0.841;0.621;0.692
Alambari (SP);0.712;0.805;0.658;0.682
Biritiba-Mirim (SP);0.712;0.795;0.64;0.71
Crissiumal (RS);0.712;0.835;0.616;0.702
Erebango (RS);0.712;0.837;0.626;0.689
Planura (MG);0.712;0.852;0.597;0.711
Ribeirão Bonito (SP);0.712;0.811;0.625;0.712
Jaguari (RS);0.712;0.866;0.567;0.734
Uru (SP);0.712;0.832;0.639;0.678
Tapira (MG);0.712;0.847;0.561;0.759
Congonhal (MG);0.712;0.847;0.626;0.681
Conceição das Alagoas (MG);0.712;0.862;0.57;0.734
Japurá (PR);0.712;0.829;0.623;0.698
Morro Agudo (SP);0.712;0.836;0.604;0.716
Sede Nova (RS);0.712;0.886;0.543;0.751
Feira de Santana (BA);0.712;0.82;0.619;0.71
Irapuru (SP);0.712;0.839;0.622;0.691
Jardim (MS);0.712;0.845;0.595;0.718
São Pedro da Aldeia (RJ);0.712;0.801;0.626;0.721
Morrinhos do Sul (RS);0.711;0.842;0.593;0.72
Rio Novo do Sul (ES);0.711;0.837;0.62;0.692
Paulicéia (SP);0.711;0.811;0.64;0.692
Vicentina (MS);0.711;0.835;0.626;0.689
Barão de Antonina (SP);0.711;0.82;0.649;0.676
Paranaiguara (GO);0.711;0.836;0.613;0.702
Campo Belo (MG);0.711;0.868;0.586;0.706
Jaborandi (SP);0.711;0.845;0.627;0.679
Piquerobi (SP);0.711;0.836;0.644;0.669
Ribeirão Corrente (SP);0.711;0.814;0.642;0.688
Alcinópolis (MS);0.711;0.858;0.572;0.733
Sapiranga (RS);0.711;0.832;0.598;0.722
Cezarina (GO);0.711;0.807;0.652;0.684
Israelândia (GO);0.711;0.831;0.652;0.664
Igaratá (SP);0.711;0.855;0.616;0.683
Medeiros (MG);0.711;0.851;0.584;0.722
Lambari (MG);0.711;0.871;0.596;0.693
Varjão de Minas (MG);0.711;0.847;0.631;0.673
Chiador (MG);0.711;0.868;0.559;0.742
Missal (PR);0.711;0.828;0.608;0.714
Duque de Caxias (RJ);0.711;0.833;0.624;0.692
Barracão (RS);0.71;0.885;0.568;0.711
Pinheirinho do Vale (RS);0.71;0.828;0.607;0.713
Novo Itacolomi (PR);0.71;0.831;0.633;0.681
Marechal Floriano (ES);0.71;0.849;0.589;0.715
Timburi (SP);0.71;0.826;0.629;0.688
Nazário (GO);0.71;0.808;0.631;0.702
Witmarsum (SC);0.71;0.87;0.557;0.739
Glória D'Oeste (MT);0.71;0.823;0.636;0.684
Brejo Alegre (SP);0.71;0.826;0.618;0.702
Pimenta Bueno (RO);0.71;0.803;0.613;0.726
Santa Vitória (MG);0.71;0.865;0.576;0.718
Lima Duarte (MG);0.71;0.861;0.59;0.705
Buriti Alegre (GO);0.71;0.831;0.614;0.7
Três Coroas (RS);0.71;0.829;0.584;0.74
Lupionópolis (PR);0.71;0.856;0.595;0.703
Itanhangá (MT);0.71;0.856;0.597;0.699
Paulo Bento (RS);0.71;0.858;0.571;0.73
Ibiúna (SP);0.71;0.832;0.614;0.7
Ibaiti (PR);0.71;0.813;0.596;0.738
Nova Olímpia (PR);0.71;0.813;0.631;0.699
São Miguel da Boa Vista (SC);0.71;0.795;0.615;0.733
Apiaí (SP);0.71;0.835;0.647;0.662
São Miguel Arcanjo (SP);0.71;0.799;0.633;0.708
Alfredo Chaves (ES);0.71;0.832;0.611;0.703
Quarto Centenário (PR);0.71;0.819;0.603;0.724
Rio Bonito (RJ);0.71;0.819;0.62;0.705
Colômbia (SP);0.71;0.802;0.647;0.689
Prado Ferreira (PR);0.71;0.852;0.593;0.707
Limeira do Oeste (MG);0.71;0.834;0.62;0.693
Monteiro Lobato (SP);0.71;0.826;0.627;0.692
Monte Santo de Minas (MG);0.71;0.874;0.595;0.689
Terra Rica (PR);0.71;0.837;0.613;0.698
Pouso Alto (MG);0.71;0.847;0.573;0.736
Carmo do Cajuru (MG);0.71;0.853;0.605;0.695
Leandro Ferreira (MG);0.71;0.875;0.579;0.707
Estrela Dalva (MG);0.71;0.867;0.574;0.719
Santa Cruz de Monte Castelo (PR);0.71;0.831;0.633;0.681
Caicó (RN);0.71;0.824;0.619;0.703
Cachoeira Alta (GO);0.71;0.84;0.569;0.75
Pitangueiras (PR);0.71;0.842;0.634;0.67
Capitólio (MG);0.71;0.825;0.612;0.709
Bataguassu (MS);0.71;0.847;0.606;0.698
Taiaçu (SP);0.71;0.814;0.628;0.701
Ouro Verde do Oeste (PR);0.709;0.817;0.634;0.688
Tupanciretã (RS);0.709;0.828;0.596;0.721
Juquitiba (SP);0.709;0.791;0.662;0.68
Cantagalo (RJ);0.709;0.822;0.614;0.705
Sandovalina (SP);0.709;0.812;0.659;0.665
Cláudio (MG);0.709;0.846;0.602;0.701
Saquarema (RJ);0.709;0.804;0.621;0.714
Goiás (GO);0.709;0.805;0.621;0.713
Nova Era (MG);0.709;0.825;0.639;0.675
Magé (RJ);0.709;0.832;0.626;0.685
Ampére (PR);0.709;0.824;0.62;0.699
Serra do Navio (AP);0.709;0.783;0.692;0.659
Visconde do Rio Branco (MG);0.709;0.85;0.591;0.709
São Pedro do Sul (RS);0.709;0.824;0.619;0.698
Rio Paranaíba (MG);0.709;0.855;0.575;0.725
Dom Silvério (MG);0.709;0.847;0.636;0.661
Silvânia (GO);0.709;0.814;0.606;0.721
Paranapoema (PR);0.709;0.834;0.629;0.68
Rio Negro (MS);0.709;0.869;0.585;0.702
São Gabriel da Palha (ES);0.709;0.835;0.578;0.739
Campanha (MG);0.709;0.849;0.587;0.715
Gália (SP);0.709;0.823;0.634;0.684
Nossa Senhora das Graças (PR);0.709;0.832;0.631;0.679
Jardinópolis (SC);0.709;0.823;0.611;0.708
Taguaí (SP);0.709;0.818;0.631;0.69
Pirapetinga (MG);0.709;0.841;0.624;0.68
Cruzeiro do Iguaçu (PR);0.709;0.792;0.641;0.703
São Sepé (RS);0.708;0.871;0.576;0.708
Campos Borges (RS);0.708;0.819;0.616;0.704
Ibirarema (SP);0.708;0.817;0.628;0.692
Piraí do Sul (PR);0.708;0.816;0.619;0.702
Flor do Sertão (SC);0.708;0.792;0.608;0.736
Paulo Frontin (PR);0.708;0.806;0.639;0.688
Piraí (RJ);0.708;0.803;0.62;0.714
Romaria (MG);0.708;0.813;0.604;0.722
São José de Ribamar (MA);0.708;0.79;0.7;0.642
Tenente Portela (RS);0.708;0.83;0.603;0.709
Coromandel (MG);0.708;0.86;0.565;0.73
Ibicaré (SC);0.708;0.826;0.586;0.734
Crixás (GO);0.708;0.805;0.625;0.706
Cáceres (MT);0.708;0.813;0.633;0.691
Jateí (MS);0.708;0.857;0.579;0.716
Juranda (PR);0.708;0.818;0.639;0.678
Abadia de Goiás (GO);0.708;0.83;0.622;0.687
Alvorada (TO);0.708;0.843;0.623;0.677
Mallet (PR);0.708;0.809;0.645;0.681
Conchal (SP);0.708;0.827;0.614;0.699
Madre de Deus (BA);0.708;0.794;0.667;0.67
Araporã (MG);0.708;0.813;0.646;0.676
Alvorada do Sul (PR);0.708;0.826;0.617;0.695
Dom Pedrito (RS);0.708;0.848;0.585;0.715
Apiúna (SC);0.708;0.827;0.584;0.735
São João Nepomuceno (MG);0.708;0.85;0.6;0.696
Itaiópolis (SC);0.708;0.836;0.606;0.7
Atilio Vivacqua (ES);0.708;0.841;0.637;0.663
Galvão (SC);0.708;0.815;0.618;0.704
Pedra do Indaiá (MG);0.708;0.843;0.611;0.688
Mirim Doce (SC);0.708;0.821;0.633;0.683
Áurea (RS);0.707;0.841;0.588;0.715
Jandaia (GO);0.707;0.821;0.625;0.69
Conselheiro Mairinck (PR);0.707;0.806;0.65;0.675
Itaguajé (PR);0.707;0.791;0.664;0.672
Santa Bárbara (MG);0.707;0.816;0.642;0.676
Derrubadas (RS);0.707;0.846;0.628;0.664
Várzea (PB);0.707;0.8;0.714;0.619
São José do Hortêncio (RS);0.707;0.824;0.597;0.717
Iracema do Oeste (PR);0.707;0.836;0.63;0.672
Arroio do Tigre (RS);0.707;0.848;0.589;0.708
Rio Branco (MT);0.707;0.817;0.617;0.701
Rancho Alegre (PR);0.707;0.808;0.633;0.691
Rio Novo (MG);0.707;0.835;0.631;0.671
Iguatama (MG);0.707;0.825;0.616;0.695
Montes Claros de Goiás (GO);0.707;0.806;0.622;0.704
Matutina (MG);0.707;0.859;0.552;0.744
Sul Brasil (SC);0.707;0.832;0.595;0.713
Minaçu (GO);0.707;0.803;0.637;0.691
Estrela do Norte (GO);0.707;0.848;0.593;0.703
Jaguarão (RS);0.707;0.832;0.608;0.698
Irati (SC);0.707;0.836;0.609;0.694
Leópolis (PR);0.707;0.812;0.663;0.657
Itirapuã (SP);0.707;0.826;0.636;0.673
Sarapuí (SP);0.707;0.814;0.621;0.699
Campos Novos Paulista (SP);0.706;0.824;0.638;0.67
Cromínia (GO);0.706;0.803;0.634;0.692
Santa Bárbara de Goiás (GO);0.706;0.832;0.635;0.667
Planalto (PR);0.706;0.786;0.636;0.704
Santa Cruz de Minas (MG);0.706;0.839;0.636;0.66
Cachoeira de Minas (MG);0.706;0.821;0.637;0.673
Três Barras (SC);0.706;0.814;0.639;0.677
Mossâmedes (GO);0.706;0.811;0.623;0.696
Ivaté (PR);0.706;0.803;0.641;0.684
Campestre da Serra (RS);0.706;0.886;0.557;0.713
Caetanópolis (MG);0.706;0.845;0.617;0.674
Paim Filho (RS);0.706;0.87;0.558;0.725
Santa Juliana (MG);0.706;0.868;0.558;0.726
Campo Florido (MG);0.706;0.858;0.558;0.735
Cesário Lange (SP);0.706;0.804;0.611;0.715
Capanema (PR);0.706;0.801;0.611;0.719
Iporã (PR);0.706;0.829;0.611;0.696
Princesa (SC);0.706;0.82;0.611;0.701
Dionísio Cerqueira (SC);0.706;0.82;0.61;0.703
Itatinga (SP);0.706;0.841;0.61;0.685
Xambrê (PR);0.706;0.825;0.606;0.703
Costa Rica (MS);0.706;0.811;0.606;0.717
Caratinga (MG);0.706;0.836;0.603;0.697
Hidrolândia (GO);0.706;0.827;0.603;0.707
Chuí (RS);0.706;0.792;0.658;0.676
Lapa (PR);0.706;0.848;0.595;0.696
Joviânia (GO);0.706;0.827;0.595;0.714
Novo Horizonte (SC);0.706;0.846;0.594;0.7
Novo Barreiro (RS);0.706;0.808;0.594;0.734
Laranjeiras do Sul (PR);0.706;0.835;0.594;0.709
Doutor Maurício Cardoso (RS);0.706;0.84;0.593;0.707
Douradoquara (MG);0.706;0.847;0.591;0.704
Ibiraci (MG);0.706;0.855;0.591;0.696
Barracão (PR);0.706;0.833;0.59;0.716
Santo Antônio do Pinhal (SP);0.706;0.812;0.632;0.685
Coxilha (RS);0.706;0.866;0.586;0.693
Planaltina do Paraná (PR);0.705;0.795;0.646;0.682
Carmo do Paranaíba (MG);0.705;0.861;0.571;0.713
Itamonte (MG);0.705;0.853;0.591;0.695
Santa Rosa do Sul (SC);0.705;0.806;0.618;0.702
União do Oeste (SC);0.705;0.823;0.606;0.703
Avanhandava (SP);0.705;0.817;0.623;0.688
Guiratinga (MT);0.705;0.813;0.637;0.677
Belmonte (SC);0.705;0.82;0.611;0.699
Itaju (SP);0.705;0.823;0.613;0.696
Jesuítas (PR);0.705;0.839;0.615;0.68
Ribeirão Grande (SP);0.705;0.807;0.676;0.643
Restinga (SP);0.705;0.826;0.639;0.664
Vila Lângaro (RS);0.705;0.839;0.551;0.759
Borebi (SP);0.705;0.846;0.615;0.674
Bofete (SP);0.705;0.821;0.609;0.7
Santa Fé (PR);0.705;0.808;0.601;0.721
Santa Tereza do Oeste (PR);0.705;0.808;0.632;0.686
Alto Taquari (MT);0.705;0.833;0.571;0.736
Inajá (PR);0.705;0.807;0.641;0.676
Santa Rosa da Serra (MG);0.705;0.866;0.583;0.695
Papanduva (SC);0.704;0.836;0.603;0.691
Mateus Leme (MG);0.704;0.839;0.604;0.688
Quaraí (RS);0.704;0.852;0.609;0.673
Boa Esperança (MG);0.704;0.855;0.587;0.694
Nova Marilândia (MT);0.704;0.823;0.623;0.68
Campina da Lagoa (PR);0.704;0.829;0.623;0.677
São José da Varginha (MG);0.704;0.857;0.597;0.682
Lontras (SC);0.704;0.82;0.579;0.735
Siqueira Campos (PR);0.704;0.839;0.588;0.708
Arenápolis (MT);0.704;0.793;0.649;0.677
Canas (SP);0.704;0.797;0.677;0.646
Quissamã (RJ);0.704;0.821;0.61;0.698
Tabatinga (SP);0.704;0.818;0.609;0.7
Araçariguama (SP);0.704;0.814;0.597;0.717
Santa Mônica (PR);0.704;0.792;0.63;0.698
Nova Xavantina (MT);0.704;0.8;0.613;0.713
Parobé (RS);0.704;0.886;0.562;0.7
São Miguel do Iguaçu (PR);0.704;0.818;0.588;0.726
São Pedro do Paraná (PR);0.704;0.836;0.616;0.678
Chapadão do Lageado (SC);0.704;0.833;0.616;0.68
Buritinópolis (GO);0.704;0.813;0.591;0.727
Cássia (MG);0.704;0.837;0.576;0.723
Ladário (MS);0.704;0.822;0.618;0.687
Campina Verde (MG);0.704;0.868;0.562;0.714
Ibirité (MG);0.704;0.84;0.616;0.673
Salto do Itararé (PR);0.704;0.836;0.631;0.661
Euclides da Cunha Paulista (SP);0.704;0.802;0.655;0.663
Salto Grande (SP);0.704;0.825;0.637;0.664
Araruna (PR);0.704;0.785;0.648;0.685
Mirassol D'Oeste (MT);0.704;0.816;0.592;0.723
